epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,2214.86,0.44651,0.31946,0.89352,0.95863,0.94081,0.97595,0.86663,0.41732,0.30555,0.86812,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025,0.0243075,0.0081025
48,2261.89,0.44446,0.31815,0.89351,0.96363,0.9404,0.97849,0.8724,0.41079,0.29725,0.8681,0.0241837,0.00806125,0.0241837,0.00806125,0.0241837,0.00806125,0.0241837,0.00806125
49,2309.47,0.43896,0.31449,0.89209,0.9609,0.93819,0.97195,0.86426,0.41846,0.31449,0.87173,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
50,2356.23,0.4381,0.31435,0.88942,0.95199,0.94592,0.9745,0.86668,0.41407,0.30146,0.86938,0.0239363,0.00797875,0.0239363,0.00797875,0.0239363,0.00797875,0.0239363,0.00797875
51,2403.1,0.44007,0.31386,0.88872,0.95608,0.94462,0.97633,0.86875,0.41497,0.30702,0.86808,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375,0.0238125,0.0079375
52,2450.04,0.43651,0.3132,0.89134,0.95701,0.94609,0.97767,0.87296,0.40603,0.29536,0.87112,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
53,2496.93,0.43474,0.3106,0.88941,0.95414,0.94946,0.97641,0.87017,0.41684,0.29361,0.87312,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
54,2543.77,0.44084,0.3133,0.88953,0.95499,0.9443,0.97417,0.87034,0.41324,0.29684,0.86622,0.0234413,0.00781375,0.0234413,0.00781375,0.0234413,0.00781375,0.0234413,0.00781375
55,2590.41,0.43357,0.31074,0.88808,0.95382,0.94509,0.97524,0.8708,0.40141,0.28488,0.85727,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
56,2640.93,0.43033,0.3079,0.88587,0.96099,0.94128,0.97581,0.87357,0.40221,0.29641,0.86077,0.0231938,0.00773125,0.0231938,0.00773125,0.0231938,0.00773125,0.0231938,0.00773125
57,2690.87,0.42721,0.30521,0.8871,0.95864,0.9437,0.97674,0.87968,0.39326,0.28762,0.86496,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
58,2741.91,0.42664,0.30362,0.88662,0.94755,0.95434,0.97711,0.87508,0.39192,0.28128,0.85884,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
59,2791.01,0.42637,0.30222,0.88437,0.96399,0.93675,0.97522,0.87487,0.40012,0.28463,0.85618,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075,0.0228225,0.0076075
60,2840.26,0.42883,0.30549,0.88531,0.95483,0.9467,0.97638,0.87184,0.40249,0.2791,0.85918,0.0226988,0.00756625,0.0226988,0.00756625,0.0226988,0.00756625,0.0226988,0.00756625
61,2889.31,0.42507,0.30233,0.88495,0.95952,0.94384,0.97649,0.87773,0.39699,0.29249,0.86098,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
62,2939.76,0.42274,0.29979,0.88265,0.96095,0.94849,0.97905,0.87703,0.4071,0.2773,0.87321,0.0224512,0.00748375,0.0224512,0.00748375,0.0224512,0.00748375,0.0224512,0.00748375
63,2988.45,0.42307,0.30088,0.88353,0.96488,0.94067,0.97744,0.87678,0.39668,0.28321,0.86399,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425
64,3036.23,0.42343,0.30074,0.88534,0.96189,0.94623,0.97848,0.88169,0.39389,0.27681,0.86182,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
65,3084.44,0.42155,0.29946,0.88039,0.95687,0.94841,0.978,0.87757,0.41005,0.29721,0.86322,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
66,3131.67,0.42123,0.29714,0.88121,0.95804,0.94633,0.9762,0.87829,0.40434,0.29882,0.86375,0.0219563,0.00731875,0.0219563,0.00731875,0.0219563,0.00731875,0.0219563,0.00731875
67,3179.68,0.41457,0.29473,0.88191,0.95401,0.95053,0.9767,0.8803,0.39269,0.27783,0.85671,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
68,3228.02,0.42108,0.29692,0.88222,0.96018,0.94968,0.97946,0.88278,0.38869,0.277,0.864,0.0217087,0.00723625,0.0217087,0.00723625,0.0217087,0.00723625,0.0217087,0.00723625
69,3276.38,0.41659,0.2937,0.88366,0.95586,0.94937,0.97617,0.87682,0.39343,0.29513,0.85403,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
70,3323.58,0.4151,0.29435,0.8819,0.96296,0.94663,0.97585,0.87924,0.39162,0.27948,0.86703,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
71,3370.67,0.41377,0.29278,0.88023,0.96437,0.94279,0.97709,0.88006,0.3887,0.2886,0.85853,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125
72,3418.05,0.41263,0.29189,0.88174,0.9545,0.95483,0.97822,0.88253,0.37852,0.28103,0.85676,0.0212137,0.00707125,0.0212137,0.00707125,0.0212137,0.00707125,0.0212137,0.00707125
73,3464.01,0.41407,0.29158,0.87845,0.96099,0.95106,0.97697,0.88165,0.38725,0.2761,0.8503,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
74,3511.19,0.41591,0.29327,0.88155,0.95896,0.95693,0.97774,0.88439,0.37979,0.26415,0.85534,0.0209662,0.00698875,0.0209662,0.00698875,0.0209662,0.00698875,0.0209662,0.00698875
75,3558.86,0.40808,0.29142,0.87644,0.95452,0.9545,0.97831,0.88356,0.38427,0.27232,0.85125,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475
76,3606.58,0.40853,0.28889,0.87792,0.96347,0.94642,0.97689,0.88118,0.38605,0.2716,0.85005,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625
77,3653.24,0.41046,0.28972,0.87888,0.95299,0.94945,0.97715,0.88091,0.38405,0.27375,0.85984,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
78,3701.02,0.40826,0.29037,0.88177,0.95922,0.95244,0.97761,0.88087,0.38468,0.27352,0.86071,0.0204712,0.00682375,0.0204712,0.00682375,0.0204712,0.00682375,0.0204712,0.00682375
79,3749.22,0.40631,0.28677,0.87919,0.9588,0.94453,0.979,0.88539,0.37645,0.27195,0.85455,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
80,3795.74,0.40347,0.28398,0.87766,0.95825,0.95345,0.97871,0.88558,0.38003,0.26819,0.85569,0.0202238,0.00674125,0.0202238,0.00674125,0.0202238,0.00674125,0.0202238,0.00674125
81,3843.3,0.40356,0.28468,0.87699,0.95575,0.95169,0.9791,0.88716,0.37225,0.26775,0.8536,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
82,3890.93,0.39786,0.28,0.87274,0.95816,0.94437,0.978,0.88594,0.37903,0.27617,0.85585,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875
83,3937.92,0.39878,0.28278,0.87672,0.95418,0.95399,0.97801,0.8848,0.37888,0.26819,0.8616,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175
84,3985.24,0.4012,0.28377,0.87621,0.96202,0.94422,0.97905,0.88528,0.37744,0.26924,0.85122,0.0197287,0.00657625,0.0197287,0.00657625,0.0197287,0.00657625,0.0197287,0.00657625
85,4032.32,0.39839,0.28165,0.87683,0.95719,0.94903,0.97898,0.88274,0.37911,0.26414,0.8624,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
86,4079.81,0.40084,0.28097,0.87544,0.96162,0.95067,0.98016,0.88632,0.37504,0.26602,0.85338,0.0194812,0.00649375,0.0194812,0.00649375,0.0194812,0.00649375,0.0194812,0.00649375
87,4128.54,0.39798,0.27969,0.87572,0.95888,0.95028,0.97878,0.88631,0.37606,0.2636,0.86329,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525,0.0193575,0.0064525
88,4176.92,0.3977,0.27788,0.87451,0.95407,0.95853,0.97933,0.88432,0.37669,0.2685,0.85583,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
89,4224.55,0.3995,0.28147,0.87574,0.96823,0.94355,0.97904,0.8876,0.37209,0.26769,0.85131,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
