epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1791.94,0.44873,0.32158,0.87869,0.96055,0.945,0.97777,0.86049,0.42299,0.2846,0.8615,0.000866375,0.000866375,0.000866375
64,1819.52,0.45334,0.32263,0.88069,0.9561,0.95157,0.97695,0.85887,0.42657,0.2789,0.85797,0.000860188,0.000860188,0.000860188
65,1846.99,0.44719,0.32147,0.87651,0.95246,0.9511,0.97736,0.85936,0.4288,0.28327,0.86321,0.000854,0.000854,0.000854
66,1874.45,0.45289,0.32112,0.88052,0.96528,0.93813,0.97712,0.85585,0.42503,0.28909,0.85281,0.000847813,0.000847813,0.000847813
67,1902.46,0.44422,0.31542,0.8725,0.9447,0.95048,0.97531,0.85757,0.42467,0.2847,0.87436,0.000841625,0.000841625,0.000841625
68,1930.56,0.44066,0.31739,0.8771,0.95386,0.94124,0.97581,0.85648,0.42431,0.29837,0.8618,0.000835438,0.000835438,0.000835438
69,1958.06,0.44359,0.31644,0.87721,0.95281,0.94416,0.97356,0.85444,0.4255,0.30322,0.86939,0.00082925,0.00082925,0.00082925
70,1985.66,0.44742,0.31652,0.87864,0.95926,0.93913,0.97679,0.86009,0.41942,0.28939,0.86377,0.000823063,0.000823063,0.000823063
71,2012.04,0.44238,0.31294,0.87591,0.96012,0.94582,0.97636,0.85543,0.43207,0.28455,0.87949,0.000816875,0.000816875,0.000816875
72,2039.52,0.44169,0.31189,0.87428,0.94937,0.94881,0.9764,0.85938,0.42629,0.28485,0.85629,0.000810688,0.000810688,0.000810688
73,2067.2,0.44001,0.31429,0.87349,0.95528,0.94989,0.97649,0.86744,0.40996,0.27597,0.85667,0.0008045,0.0008045,0.0008045
74,2096.48,0.43372,0.30901,0.87234,0.96183,0.94195,0.97532,0.85987,0.41505,0.27634,0.8596,0.000798313,0.000798313,0.000798313
75,2124.96,0.43953,0.30811,0.87352,0.95388,0.94789,0.97534,0.86235,0.41164,0.27132,0.86539,0.000792125,0.000792125,0.000792125
76,2153.02,0.43597,0.30758,0.87465,0.95395,0.94864,0.9776,0.86084,0.42131,0.28204,0.86494,0.000785938,0.000785938,0.000785938
77,2180.78,0.43239,0.31074,0.87323,0.96218,0.94214,0.97765,0.86199,0.41581,0.27626,0.86662,0.00077975,0.00077975,0.00077975
78,2207.56,0.43548,0.30938,0.87426,0.96078,0.94226,0.97957,0.86091,0.42081,0.2795,0.87579,0.000773563,0.000773563,0.000773563
79,2235.63,0.43434,0.30757,0.87138,0.96223,0.94781,0.97977,0.86687,0.4105,0.27458,0.86175,0.000767375,0.000767375,0.000767375
80,2263.76,0.43457,0.30525,0.87281,0.95405,0.95153,0.97788,0.86271,0.40526,0.26641,0.85175,0.000761188,0.000761188,0.000761188
81,2291.71,0.42629,0.29862,0.86937,0.9628,0.94662,0.97757,0.86637,0.40238,0.2653,0.86807,0.000755,0.000755,0.000755
82,2319.21,0.42991,0.30381,0.87016,0.9596,0.9524,0.9793,0.86698,0.40473,0.26628,0.86977,0.000748813,0.000748813,0.000748813
83,2346.43,0.42674,0.30257,0.87223,0.95983,0.94949,0.979,0.86673,0.40333,0.26572,0.86807,0.000742625,0.000742625,0.000742625
84,2373.87,0.43066,0.30389,0.86792,0.96493,0.93989,0.97876,0.86548,0.41076,0.27159,0.86251,0.000736438,0.000736438,0.000736438
85,2401.14,0.42557,0.30023,0.86823,0.9576,0.94723,0.97568,0.8623,0.41074,0.27367,0.86425,0.00073025,0.00073025,0.00073025
86,2429.64,0.42604,0.2992,0.8711,0.9625,0.94681,0.9785,0.86687,0.40603,0.26078,0.87612,0.000724062,0.000724062,0.000724062
87,2457.74,0.42229,0.29909,0.87034,0.95652,0.9541,0.97564,0.86425,0.41093,0.26427,0.87918,0.000717875,0.000717875,0.000717875
88,2486.3,0.41715,0.29629,0.87026,0.95033,0.94671,0.97712,0.86242,0.41461,0.27147,0.85333,0.000711687,0.000711687,0.000711687
89,2513.59,0.42577,0.29854,0.86755,0.94714,0.95513,0.97895,0.86476,0.41483,0.27587,0.86152,0.0007055,0.0007055,0.0007055
90,2541.74,0.42129,0.2967,0.86623,0.96058,0.94807,0.98024,0.86502,0.4062,0.26254,0.85896,0.000699312,0.000699312,0.000699312
91,2569.12,0.42019,0.29497,0.86633,0.95946,0.95093,0.98033,0.87013,0.39949,0.25871,0.87616,0.000693125,0.000693125,0.000693125
92,2597.39,0.41651,0.29491,0.8681,0.9572,0.95284,0.98107,0.86868,0.40625,0.26431,0.8475,0.000686937,0.000686937,0.000686937
93,2625.28,0.41862,0.29538,0.86555,0.94985,0.9527,0.97811,0.86222,0.41414,0.26719,0.87861,0.00068075,0.00068075,0.00068075
94,2654,0.42395,0.29826,0.86901,0.95668,0.94969,0.97796,0.864,0.40553,0.262,0.87627,0.000674562,0.000674562,0.000674562
95,2682.13,0.41601,0.29344,0.86583,0.96617,0.94201,0.9788,0.8699,0.39753,0.26513,0.86729,0.000668375,0.000668375,0.000668375
96,2710,0.42111,0.29451,0.86862,0.95473,0.94878,0.97705,0.86419,0.41146,0.26774,0.87395,0.000662188,0.000662188,0.000662188
97,2737.9,0.41471,0.28972,0.86467,0.95835,0.95032,0.98005,0.87079,0.39938,0.25583,0.87301,0.000656,0.000656,0.000656
98,2765.52,0.41556,0.29043,0.86774,0.95601,0.9503,0.9786,0.86702,0.40182,0.26076,0.87008,0.000649813,0.000649813,0.000649813
99,2793.43,0.41388,0.28899,0.86932,0.96399,0.93566,0.97921,0.86325,0.41309,0.26664,0.88373,0.000643625,0.000643625,0.000643625
100,2821.28,0.41241,0.29152,0.86647,0.96357,0.94309,0.97711,0.86755,0.40006,0.26546,0.8648,0.000637437,0.000637437,0.000637437
101,2849.47,0.41046,0.28926,0.86626,0.95785,0.94878,0.97762,0.86793,0.40065,0.2604,0.87189,0.00063125,0.00063125,0.00063125
